timestamp,ADXL1_x,ADXL1_y,ADXL1_z,ADXL2_x,ADXL2_y,ADXL2_z,AN1,AN2
11:14:26.890,0.03,1.06,-0.06,0.06,0.97,-0.09,52,171
11:14:26.899,0.03,0.97,0.0,0.03,1.03,-0.06,78,105
11:14:26.910,0.03,1.03,-0.06,0.03,1.0,-0.06,75,111
11:14:26.921,0.03,1.0,0.0,0.03,1.03,-0.06,89,97
11:14:26.929,0.03,1.06,-0.06,0.06,1.03,-0.06,71,167
11:14:26.939,0.03,1.0,0.03,0.0,1.03,-0.03,85,43
11:14:26.949,0.03,1.03,-0.03,0.03,0.97,-0.06,71,169
11:14:26.960,0.0,1.0,0.0,0.03,0.97,-0.06,87,58
11:14:26.975,0.03,1.06,-0.03,0.0,0.94,-0.03,87,138
11:14:26.979,0.03,1.03,-0.06,0.03,0.97,-0.06,78,62
11:14:26.991,0.03,1.0,0.0,0.0,1.0,-0.06,84,125
11:14:26.999,0.03,1.0,-0.06,0.03,1.03,-0.09,83,168
11:14:27.009,0.03,1.03,-0.03,0.03,1.03,-0.12,75,88
11:14:27.018,0.03,1.03,-0.06,0.0,1.03,-0.12,79,109
11:14:27.028,0.03,1.03,-0.03,0.06,0.97,-0.06,79,197
11:14:27.038,0.03,1.0,-0.03,0.03,1.0,-0.06,84,75
11:14:27.048,0.0,1.03,-0.03,0.06,0.97,-0.06,58,140
11:14:27.058,0.03,1.03,-0.03,0.0,0.97,-0.09,83,107
11:14:27.068,0.0,1.03,-0.03,0.03,1.0,-0.06,71,154
11:14:27.078,0.03,1.0,0.0,0.0,0.91,0.0,95,128
11:14:27.093,0.03,1.03,-0.03,-0.03,1.0,-0.03,61,57
11:14:27.100,0.03,1.06,0.0,0.06,0.97,-0.06,73,124
11:14:27.109,0.03,1.0,-0.03,0.03,1.06,-0.03,69,123
11:14:27.119,0.03,1.03,0.0,0.0,0.94,-0.03,88,111
11:14:27.129,0.03,1.03,-0.06,0.0,1.03,-0.03,70,105
11:14:27.139,0.03,1.03,0.0,0.0,0.94,-0.09,87,90
11:14:27.149,0.0,1.03,-0.03,0.03,1.03,-0.03,61,58
11:14:27.159,0.03,1.0,-0.03,0.06,0.94,-0.03,93,89
11:14:27.169,0.03,1.06,-0.03,0.0,1.03,-0.03,62,123
11:14:27.183,0.03,1.0,-0.06,0.06,1.0,-0.06,73,89
11:14:27.189,0.0,1.03,0.0,0.03,1.06,-0.03,68,123
11:14:27.199,0.03,1.03,-0.06,0.06,0.97,0.0,99,139
11:14:27.209,0.03,1.06,0.0,-0.03,1.0,0.0,55,37
11:14:27.219,0.06,1.03,-0.03,0.03,1.0,-0.06,83,169
11:14:27.230,0.03,1.03,0.0,0.03,1.03,-0.06,51,159
11:14:27.239,0.03,1.03,-0.03,0.0,1.0,-0.03,107,108
11:14:27.249,0.03,1.06,0.0,0.0,1.03,-0.06,67,95
11:14:27.259,0.0,1.06,-0.03,0.03,1.03,-0.12,117,125
11:14:27.274,0.03,1.0,-0.03,0.0,1.06,-0.09,61,127
11:14:27.279,0.0,1.03,0.0,0.03,1.0,-0.06,98,119
11:14:27.289,0.0,1.0,-0.03,0.03,1.03,0.03,74,88
11:14:27.299,0.03,1.03,-0.03,0.03,1.0,-0.03,95,164
11:14:27.310,0.03,1.0,-0.03,-0.03,1.0,-0.06,60,108
11:14:27.319,0.03,1.03,0.0,0.06,0.97,-0.06,92,54
11:14:27.329,0.03,1.0,-0.03,0.0,1.0,-0.03,61,117
11:14:27.339,0.03,1.06,-0.03,0.0,1.06,-0.06,101,153
11:14:27.349,0.0,1.03,-0.03,-0.03,1.03,-0.03,45,56
11:14:27.359,0.03,1.03,0.0,0.03,1.06,-0.06,92,79
11:14:27.370,0.0,1.03,-0.03,0.03,1.09,-0.09,56,151
11:14:27.379,0.0,1.06,0.0,0.0,1.03,-0.03,94,119
11:14:27.389,0.03,1.0,-0.03,0.06,1.0,-0.09,57,22
11:14:27.402,0.03,1.06,0.0,0.06,0.97,0.0,103,159
11:14:27.411,0.03,1.03,-0.06,0.06,0.97,-0.09,61,149
11:14:27.418,0.03,1.03,0.0,0.06,1.03,-0.09,93,105
11:14:27.429,0.03,1.0,-0.03,0.03,1.03,-0.03,62,86
11:14:27.438,0.06,1.0,0.0,0.0,1.09,-0.09,99,125
11:14:27.449,0.03,1.03,-0.03,0.03,1.03,-0.06,68,203
11:14:27.459,0.03,1.0,-0.03,0.0,1.03,-0.03,95,45
11:14:27.487,0.03,1.03,0.0,0.03,0.97,-0.06,55,106
11:14:27.489,0.03,1.0,-0.03,0.06,1.0,-0.06,104,117
11:14:27.489,0.03,1.06,0.0,0.0,0.97,-0.03,61,157
11:14:27.498,0.03,1.03,-0.03,0.06,1.06,-0.03,101,127
11:14:27.509,0.03,1.06,0.03,0.0,0.97,-0.03,53,93
11:14:27.520,0.06,1.03,-0.03,-0.03,1.06,-0.06,95,168
11:14:27.529,0.03,1.03,-0.06,0.03,1.0,-0.06,66,141
11:14:27.539,0.0,1.0,-0.03,0.03,1.03,0.03,104,42
11:14:27.548,0.03,1.06,-0.06,0.03,0.94,-0.06,63,199
11:14:27.558,0.0,1.0,-0.03,0.03,0.94,0.0,94,91
11:14:27.576,0.03,1.03,-0.03,0.0,0.97,-0.03,55,135
11:14:27.579,0.03,1.0,-0.03,0.0,1.0,-0.03,84,41
11:14:27.588,0.0,1.03,-0.03,0.06,1.0,-0.06,72,101
11:14:27.598,0.03,0.97,0.0,0.03,1.03,-0.03,92,105
11:14:27.608,0.03,1.06,0.0,0.06,1.0,-0.06,77,99
11:14:27.619,0.0,1.03,-0.03,0.03,1.0,0.0,90,35
11:14:27.631,0.03,1.03,0.0,0.06,0.94,-0.06,78,207
11:14:27.639,0.03,1.0,0.0,0.03,1.0,-0.06,86,69
11:14:27.649,0.0,1.06,0.0,0.06,0.94,-0.09,63,76
11:14:27.660,0.03,1.03,0.0,0.0,1.0,0.0,88,92
11:14:27.671,0.03,1.06,-0.03,0.03,1.03,-0.09,70,189
11:14:27.680,0.0,1.03,0.0,-0.03,1.06,-0.09,86,119
11:14:27.690,0.03,1.03,-0.03,0.03,1.06,-0.12,73,100
11:14:27.699,0.03,1.0,-0.03,0.0,1.0,-0.03,92,107
11:14:27.709,0.03,1.06,-0.03,0.03,1.0,-0.03,71,197
11:14:27.719,0.03,1.0,-0.03,-0.03,0.97,0.0,76,42
11:14:27.729,0.03,1.06,-0.03,0.06,0.97,-0.06,71,127
11:14:27.739,0.03,1.0,0.0,0.0,0.97,-0.03,89,139
11:14:27.749,0.03,1.06,-0.06,0.03,0.97,-0.03,61,198
11:14:27.761,0.03,1.0,0.0,0.0,1.03,-0.06,88,0
11:14:27.770,0.03,1.06,-0.03,0.03,1.06,-0.09,79,125
11:14:27.780,0.03,1.03,0.0,0.0,1.06,-0.03,88,108
11:14:27.790,0.03,1.06,-0.06,0.0,1.0,-0.06,73,126
11:14:27.800,0.03,1.0,-0.03,0.03,1.0,-0.06,79,37
11:14:27.811,0.0,1.0,0.0,0.06,0.94,0.0,75,141
11:14:27.820,0.03,1.03,-0.03,0.0,0.97,-0.03,88,146
11:14:27.829,0.03,1.0,-0.03,0.0,1.0,0.0,76,67
11:14:27.839,0.03,1.0,-0.03,0.0,1.09,-0.06,88,64
11:14:27.849,0.03,1.03,-0.06,0.03,1.06,-0.09,59,229
11:14:27.859,0.03,1.03,-0.03,0.03,1.03,-0.09,86,135
11:14:27.875,0.03,1.0,0.0,0.03,1.0,-0.06,75,99
11:14:27.878,0.03,1.03,-0.03,0.03,1.0,-0.06,84,135
11:14:27.889,0.0,1.0,-0.03,0.06,1.0,-0.06,44,181
