timestamp,ADXL1_x,ADXL1_y,ADXL1_z,ADXL2_x,ADXL2_y,ADXL2_z,AN1,AN2
11:01:22.022,0.0,1.03,0.03,0.03,1.03,-0.09,95,159
11:01:22.032,0.06,1.0,-0.03,0.0,1.0,-0.06,62,119
11:01:22.040,0.03,1.03,-0.03,0.03,1.03,-0.06,101,169
11:01:22.051,0.06,1.03,-0.03,0.0,0.97,-0.09,53,77
11:01:22.062,0.0,1.0,0.0,-0.03,0.97,-0.06,92,169
11:01:22.071,0.0,1.06,-0.03,0.03,1.0,-0.03,37,143
11:01:22.081,0.03,1.06,-0.03,0.0,0.94,-0.12,99,99
11:01:22.091,0.06,1.03,0.0,0.0,1.03,-0.06,63,117
11:01:22.117,0.03,1.06,-0.03,0.03,1.03,-0.12,101,111
11:01:22.118,0.03,1.03,0.0,0.03,1.0,-0.09,59,123
11:01:22.121,0.0,1.06,-0.03,0.03,1.0,-0.12,101,93
11:01:22.130,0.06,1.03,0.0,0.0,1.09,-0.09,54,99
11:01:22.144,0.03,1.06,-0.06,0.06,1.06,-0.12,107,197
11:01:22.150,0.06,1.03,0.0,0.03,1.0,-0.12,68,73
11:01:22.174,0.06,1.09,-0.03,0.03,1.0,-0.03,97,152
11:01:22.176,0.03,1.03,0.0,0.03,0.94,-0.06,58,117
11:01:22.181,0.03,1.03,0.0,0.06,0.97,0.0,103,135
11:01:22.197,0.0,1.03,-0.03,0.06,0.94,-0.03,61,164
11:01:22.200,0.03,1.06,-0.03,0.0,1.03,-0.06,104,93
11:01:22.211,0.03,1.03,-0.03,0.0,1.06,-0.12,73,166
11:01:22.221,0.06,1.0,0.0,0.03,1.0,-0.12,110,119
11:01:22.231,0.03,1.06,-0.03,0.06,1.0,-0.06,62,163
11:01:22.241,0.03,1.03,0.0,0.0,1.0,0.0,105,136
11:01:22.251,0.03,1.03,-0.03,0.06,0.97,-0.06,59,120
11:01:22.261,0.03,1.03,0.0,0.06,1.0,-0.06,92,139
