timestamp,ADXL1_x,ADXL1_y,ADXL1_z,ADXL2_x,ADXL2_y,ADXL2_z,AN1,AN2
11:00:23.415,0.03,1.0,-0.03,0.03,0.94,0.0,88,115
11:00:23.423,0.03,1.03,0.0,0.0,1.0,0.0,76,172
11:00:23.434,0.06,1.03,-0.03,0.03,0.97,-0.06,76,91
11:00:23.443,0.03,1.0,0.0,0.03,1.0,-0.06,83,47
11:00:23.453,0.03,1.03,-0.03,0.03,0.94,0.0,89,155
11:00:23.468,0.06,1.03,-0.03,0.0,1.09,-0.06,58,77
11:00:23.473,0.06,1.03,-0.06,0.0,1.0,-0.09,141,98
11:00:23.483,0.03,1.03,0.0,0.0,1.06,-0.09,76,183
11:00:23.495,0.03,1.03,-0.06,0.03,1.03,-0.06,83,149
11:00:23.506,0.03,1.03,0.0,0.0,0.97,0.0,59,121
11:00:23.514,0.03,1.03,-0.06,0.03,0.94,-0.09,77,73
11:00:23.525,0.03,1.03,0.0,0.0,1.0,-0.06,78,169
11:00:23.534,0.03,1.03,-0.06,0.0,1.03,-0.06,69,163
11:00:23.544,0.03,1.03,0.03,-0.03,1.03,-0.09,71,138
11:00:23.555,0.03,1.06,-0.06,0.09,1.12,-0.12,84,121
11:00:23.564,0.06,1.03,0.0,0.0,1.06,-0.12,79,100
11:00:23.574,0.03,1.03,-0.03,0.03,1.06,-0.09,69,159
11:00:23.585,0.03,1.03,-0.03,0.06,1.0,-0.12,70,109
11:00:23.594,0.03,1.03,0.0,0.03,0.91,-0.03,76,119
11:00:23.613,0.0,1.03,-0.03,-0.03,0.97,-0.06,69,173
11:00:23.615,0.0,1.0,-0.03,0.0,1.0,-0.09,85,89
11:00:23.623,0.03,1.06,-0.03,0.03,1.09,-0.06,75,171
11:00:23.633,0.0,1.06,0.0,0.03,1.03,-0.06,84,86
11:00:23.645,0.03,1.0,-0.06,0.0,1.03,-0.06,70,103
11:00:23.653,0.03,1.0,0.0,0.03,1.06,-0.03,85,147
11:00:23.663,0.03,1.03,-0.06,0.06,0.94,-0.06,75,139
11:00:23.675,0.06,1.06,0.0,0.03,1.0,0.0,82,101
11:00:23.683,0.03,1.0,-0.06,0.03,0.88,-0.06,75,159
11:00:23.693,0.03,1.0,0.0,0.0,1.0,-0.03,95,87
11:00:23.705,0.06,1.03,-0.06,0.03,1.09,-0.09,54,153
11:00:23.713,0.03,1.0,-0.03,0.0,1.06,-0.03,76,179
11:00:23.723,0.0,1.03,-0.06,0.06,1.0,-0.03,75,215
11:00:23.735,0.03,1.0,-0.03,0.0,1.03,-0.03,71,111
11:00:23.746,0.0,1.09,-0.06,0.03,1.0,-0.03,72,120
11:00:23.753,0.06,1.03,-0.03,0.03,0.97,-0.03,75,153
11:00:23.765,0.03,1.03,0.0,0.03,0.94,-0.03,73,221
11:00:23.773,0.03,1.0,0.0,0.0,0.94,0.0,86,84
11:00:23.784,0.03,1.06,-0.03,0.03,0.97,-0.06,62,103
11:00:23.795,0.03,1.03,0.0,-0.03,1.03,-0.03,71,156
11:00:23.803,0.03,1.03,-0.03,0.06,1.0,-0.06,72,137
11:00:23.813,0.0,1.03,0.0,0.03,1.09,-0.03,73,89
