"11:14:26.890> RXADXL1:0.03,1.06,-0.06|ADXL2:0.06,0.97,-0.09|AN:52|AN:171"
"11:14:26.899> RXADXL1:0.03,0.97,0.00|ADXL2:0.03,1.03,-0.06|AN:78|AN:105"
"11:14:26.910> RXADXL1:0.03,1.03,-0.06|ADXL2:0.03,1.00,-0.06|AN:75|AN:111"
"11:14:26.921> RXADXL1:0.03,1.00,0.00|ADXL2:0.03,1.03,-0.06|AN:89|AN:97"
"11:14:26.929> RXADXL1:0.03,1.06,-0.06|ADXL2:0.06,1.03,-0.06|AN:71|AN:167"
"11:14:26.939> RXADXL1:0.03,1.00,0.03|ADXL2:0.00,1.03,-0.03|AN:85|AN:43"
"11:14:26.949> RXADXL1:0.03,1.03,-0.03|ADXL2:0.03,0.97,-0.06|AN:71|AN:169"
"11:14:26.960> RXADXL1:0.00,1.00,0.00|ADXL2:0.03,0.97,-0.06|AN:87|AN:58"
"11:14:26.975> RXADXL1:0.03,1.06,-0.03|ADXL2:0.00,0.94,-0.03|AN:87|AN:138"
"11:14:26.979> RXADXL1:0.03,1.03,-0.06|ADXL2:0.03,0.97,-0.06|AN:78|AN:62"
"11:14:26.991> RXADXL1:0.03,1.00,0.00|ADXL2:0.00,1.00,-0.06|AN:84|AN:125"
"11:14:26.999> RXADXL1:0.03,1.00,-0.06|ADXL2:0.03,1.03,-0.09|AN:83|AN:168"
"11:14:27.009> RXADXL1:0.03,1.03,-0.03|ADXL2:0.03,1.03,-0.12|AN:75|AN:88"
"11:14:27.018> RXADXL1:0.03,1.03,-0.06|ADXL2:0.00,1.03,-0.12|AN:79|AN:109"
"11:14:27.028> RXADXL1:0.03,1.03,-0.03|ADXL2:0.06,0.97,-0.06|AN:79|AN:197"
"11:14:27.038> RXADXL1:0.03,1.00,-0.03|ADXL2:0.03,1.00,-0.06|AN:84|AN:75"
"11:14:27.048> RXADXL1:0.00,1.03,-0.03|ADXL2:0.06,0.97,-0.06|AN:58|AN:140"
"11:14:27.058> RXADXL1:0.03,1.03,-0.03|ADXL2:0.00,0.97,-0.09|AN:83|AN:107"
"11:14:27.068> RXADXL1:0.00,1.03,-0.03|ADXL2:0.03,1.00,-0.06|AN:71|AN:154"
"11:14:27.078> RXADXL1:0.03,1.00,0.00|ADXL2:0.00,0.91,0.00|AN:95|AN:128"
"11:14:27.093> RXADXL1:0.03,1.03,-0.03|ADXL2:-0.03,1.00,-0.03|AN:61|AN:57"
"11:14:27.100> RXADXL1:0.03,1.06,0.00|ADXL2:0.06,0.97,-0.06|AN:73|AN:124"
"11:14:27.109> RXADXL1:0.03,1.00,-0.03|ADXL2:0.03,1.06,-0.03|AN:69|AN:123"
"11:14:27.119> RXADXL1:0.03,1.03,0.00|ADXL2:0.00,0.94,-0.03|AN:88|AN:111"
"11:14:27.129> RXADXL1:0.03,1.03,-0.06|ADXL2:0.00,1.03,-0.03|AN:70|AN:105"
"11:14:27.139> RXADXL1:0.03,1.03,0.00|ADXL2:0.00,0.94,-0.09|AN:87|AN:90"
"11:14:27.149> RXADXL1:0.00,1.03,-0.03|ADXL2:0.03,1.03,-0.03|AN:61|AN:58"
"11:14:27.159> RXADXL1:0.03,1.00,-0.03|ADXL2:0.06,0.94,-0.03|AN:93|AN:89"
"11:14:27.169> RXADXL1:0.03,1.06,-0.03|ADXL2:0.00,1.03,-0.03|AN:62|AN:123"
"11:14:27.183> RXADXL1:0.03,1.00,-0.06|ADXL2:0.06,1.00,-0.06|AN:73|AN:89"
"11:14:27.189> RXADXL1:0.00,1.03,0.00|ADXL2:0.03,1.06,-0.03|AN:68|AN:123"
"11:14:27.199> RXADXL1:0.03,1.03,-0.06|ADXL2:0.06,0.97,0.00|AN:99|AN:139"
"11:14:27.209> RXADXL1:0.03,1.06,0.00|ADXL2:-0.03,1.00,0.00|AN:55|AN:37"
"11:14:27.219> RXADXL1:0.06,1.03,-0.03|ADXL2:0.03,1.00,-0.06|AN:83|AN:169"
"11:14:27.230> RXADXL1:0.03,1.03,0.00|ADXL2:0.03,1.03,-0.06|AN:51|AN:159"
"11:14:27.239> RXADXL1:0.03,1.03,-0.03|ADXL2:0.00,1.00,-0.03|AN:107|AN:108"
"11:14:27.249> RXADXL1:0.03,1.06,0.00|ADXL2:0.00,1.03,-0.06|AN:67|AN:95"
"11:14:27.259> RXADXL1:0.00,1.06,-0.03|ADXL2:0.03,1.03,-0.12|AN:117|AN:125"
"11:14:27.274> RXADXL1:0.03,1.00,-0.03|ADXL2:0.00,1.06,-0.09|AN:61|AN:127"
"11:14:27.279> RXADXL1:0.00,1.03,0.00|ADXL2:0.03,1.00,-0.06|AN:98|AN:119"
"11:14:27.289> RXADXL1:0.00,1.00,-0.03|ADXL2:0.03,1.03,0.03|AN:74|AN:88"
"11:14:27.299> RXADXL1:0.03,1.03,-0.03|ADXL2:0.03,1.00,-0.03|AN:95|AN:164"
"11:14:27.310> RXADXL1:0.03,1.00,-0.03|ADXL2:-0.03,1.00,-0.06|AN:60|AN:108"
"11:14:27.319> RXADXL1:0.03,1.03,0.00|ADXL2:0.06,0.97,-0.06|AN:92|AN:54"
"11:14:27.329> RXADXL1:0.03,1.00,-0.03|ADXL2:0.00,1.00,-0.03|AN:61|AN:117"
"11:14:27.339> RXADXL1:0.03,1.06,-0.03|ADXL2:0.00,1.06,-0.06|AN:101|AN:153"
"11:14:27.349> RXADXL1:0.00,1.03,-0.03|ADXL2:-0.03,1.03,-0.03|AN:45|AN:56"
"11:14:27.359> RXADXL1:0.03,1.03,0.00|ADXL2:0.03,1.06,-0.06|AN:92|AN:79"
"11:14:27.370> RXADXL1:0.00,1.03,-0.03|ADXL2:0.03,1.09,-0.09|AN:56|AN:151"
"11:14:27.379> RXADXL1:0.00,1.06,0.00|ADXL2:0.00,1.03,-0.03|AN:94|AN:119"
"11:14:27.389> RXADXL1:0.03,1.00,-0.03|ADXL2:0.06,1.00,-0.09|AN:57|AN:22"
"11:14:27.402> RXADXL1:0.03,1.06,0.00|ADXL2:0.06,0.97,0.00|AN:103|AN:159"
"11:14:27.411> RXADXL1:0.03,1.03,-0.06|ADXL2:0.06,0.97,-0.09|AN:61|AN:149"
"11:14:27.418> RXADXL1:0.03,1.03,0.00|ADXL2:0.06,1.03,-0.09|AN:93|AN:105"
"11:14:27.429> RXADXL1:0.03,1.00,-0.03|ADXL2:0.03,1.03,-0.03|AN:62|AN:86"
"11:14:27.438> RXADXL1:0.06,1.00,0.00|ADXL2:0.00,1.09,-0.09|AN:99|AN:125"
"11:14:27.449> RXADXL1:0.03,1.03,-0.03|ADXL2:0.03,1.03,-0.06|AN:68|AN:203"
"11:14:27.459> RXADXL1:0.03,1.00,-0.03|ADXL2:0.00,1.03,-0.03|AN:95|AN:45"
"11:14:27.487> RXADXL1:0.03,1.03,0.00|ADXL2:0.03,0.97,-0.06|AN:55|AN:106"
"11:14:27.489> RXADXL1:0.03,1.00,-0.03|ADXL2:0.06,1.00,-0.06|AN:104|AN:117"
"11:14:27.489> RXADXL1:0.03,1.06,0.00|ADXL2:0.00,0.97,-0.03|AN:61|AN:157"
"11:14:27.498> RXADXL1:0.03,1.03,-0.03|ADXL2:0.06,1.06,-0.03|AN:101|AN:127"
"11:14:27.509> RXADXL1:0.03,1.06,0.03|ADXL2:0.00,0.97,-0.03|AN:53|AN:93"
"11:14:27.520> RXADXL1:0.06,1.03,-0.03|ADXL2:-0.03,1.06,-0.06|AN:95|AN:168"
"11:14:27.529> RXADXL1:0.03,1.03,-0.06|ADXL2:0.03,1.00,-0.06|AN:66|AN:141"
"11:14:27.539> RXADXL1:0.00,1.00,-0.03|ADXL2:0.03,1.03,0.03|AN:104|AN:42"
"11:14:27.548> RXADXL1:0.03,1.06,-0.06|ADXL2:0.03,0.94,-0.06|AN:63|AN:199"
"11:14:27.558> RXADXL1:0.00,1.00,-0.03|ADXL2:0.03,0.94,0.00|AN:94|AN:91"
"11:14:27.576> RXADXL1:0.03,1.03,-0.03|ADXL2:0.00,0.97,-0.03|AN:55|AN:135"
"11:14:27.579> RXADXL1:0.03,1.00,-0.03|ADXL2:0.00,1.00,-0.03|AN:84|AN:41"
"11:14:27.588> RXADXL1:0.00,1.03,-0.03|ADXL2:0.06,1.00,-0.06|AN:72|AN:101"
"11:14:27.598> RXADXL1:0.03,0.97,0.00|ADXL2:0.03,1.03,-0.03|AN:92|AN:105"
"11:14:27.608> RXADXL1:0.03,1.06,0.00|ADXL2:0.06,1.00,-0.06|AN:77|AN:99"
"11:14:27.619> RXADXL1:0.00,1.03,-0.03|ADXL2:0.03,1.00,0.00|AN:90|AN:35"
"11:14:27.631> RXADXL1:0.03,1.03,0.00|ADXL2:0.06,0.94,-0.06|AN:78|AN:207"
"11:14:27.639> RXADXL1:0.03,1.00,0.00|ADXL2:0.03,1.00,-0.06|AN:86|AN:69"
"11:14:27.649> RXADXL1:0.00,1.06,0.00|ADXL2:0.06,0.94,-0.09|AN:63|AN:76"
"11:14:27.660> RXADXL1:0.03,1.03,0.00|ADXL2:0.00,1.00,0.00|AN:88|AN:92"
"11:14:27.671> RXADXL1:0.03,1.06,-0.03|ADXL2:0.03,1.03,-0.09|AN:70|AN:189"
"11:14:27.680> RXADXL1:0.00,1.03,0.00|ADXL2:-0.03,1.06,-0.09|AN:86|AN:119"
"11:14:27.690> RXADXL1:0.03,1.03,-0.03|ADXL2:0.03,1.06,-0.12|AN:73|AN:100"
"11:14:27.699> RXADXL1:0.03,1.00,-0.03|ADXL2:0.00,1.00,-0.03|AN:92|AN:107"
"11:14:27.709> RXADXL1:0.03,1.06,-0.03|ADXL2:0.03,1.00,-0.03|AN:71|AN:197"
"11:14:27.719> RXADXL1:0.03,1.00,-0.03|ADXL2:-0.03,0.97,0.00|AN:76|AN:42"
"11:14:27.729> RXADXL1:0.03,1.06,-0.03|ADXL2:0.06,0.97,-0.06|AN:71|AN:127"
"11:14:27.739> RXADXL1:0.03,1.00,0.00|ADXL2:0.00,0.97,-0.03|AN:89|AN:139"
"11:14:27.749> RXADXL1:0.03,1.06,-0.06|ADXL2:0.03,0.97,-0.03|AN:61|AN:198"
"11:14:27.761> RXADXL1:0.03,1.00,0.00|ADXL2:0.00,1.03,-0.06|AN:88|AN:0"
"11:14:27.770> RXADXL1:0.03,1.06,-0.03|ADXL2:0.03,1.06,-0.09|AN:79|AN:125"
"11:14:27.780> RXADXL1:0.03,1.03,0.00|ADXL2:0.00,1.06,-0.03|AN:88|AN:108"
"11:14:27.790> RXADXL1:0.03,1.06,-0.06|ADXL2:0.00,1.00,-0.06|AN:73|AN:126"
"11:14:27.800> RXADXL1:0.03,1.00,-0.03|ADXL2:0.03,1.00,-0.06|AN:79|AN:37"
"11:14:27.811> RXADXL1:0.00,1.00,0.00|ADXL2:0.06,0.94,0.00|AN:75|AN:141"
"11:14:27.820> RXADXL1:0.03,1.03,-0.03|ADXL2:0.00,0.97,-0.03|AN:88|AN:146"
"11:14:27.829> RXADXL1:0.03,1.00,-0.03|ADXL2:0.00,1.00,0.00|AN:76|AN:67"
"11:14:27.839> RXADXL1:0.03,1.00,-0.03|ADXL2:0.00,1.09,-0.06|AN:88|AN:64"
"11:14:27.849> RXADXL1:0.03,1.03,-0.06|ADXL2:0.03,1.06,-0.09|AN:59|AN:229"
"11:14:27.859> RXADXL1:0.03,1.03,-0.03|ADXL2:0.03,1.03,-0.09|AN:86|AN:135"
"11:14:27.875> RXADXL1:0.03,1.00,0.00|ADXL2:0.03,1.00,-0.06|AN:75|AN:99"
"11:14:27.878> RXADXL1:0.03,1.03,-0.03|ADXL2:0.03,1.00,-0.06|AN:84|AN:135"
"11:14:27.889> RXADXL1:0.00,1.00,-0.03|ADXL2:0.06,1.00,-0.06|AN:44|AN:181"
"11:14:27.899> RXADXL1:0.00,1.03,0.00|ADXL2:-0.03,0.97,-0.09|AN:100|AN:148"
"11:14:27.920> RXADXL1:0.03,1.00,-0.03|ADXL2:0.00,1.00,-0.06|AN:59|AN:58"
"11:14:27.920> RXADXL1:0.03,1.03,0.00|ADXL2:0.03,1.00,-0.06|AN:83|AN:169"
"11:14:27.929> RXADXL1:0.03,1.00,-0.03|ADXL2:0.03,1.00,-0.09|AN:69|AN:189"
"11:14:27.939> RXADXL1:0.03,1.03,-0.03|ADXL2:0.03,1.00,-0.03|AN:85|AN:69"
"11:14:27.949> RXADXL1:0.03,1.03,0.00|ADXL2:0.00,1.09,-0.06|AN:63|AN:119"
"11:14:27.959> RXADXL1:0.00,1.00,-0.03|ADXL2:0.00,1.03,-0.03|AN:87|AN:153"
"11:14:27.969> RXADXL1:0.03,1.03,-0.03|ADXL2:0.00,1.00,0.00|AN:69|AN:149"
"11:14:27.980> RXADXL1:0.03,1.03,-0.03|ADXL2:0.06,0.97,-0.03|AN:87|AN:69"
"11:14:27.990> RXADXL1:0.03,1.06,0.00|ADXL2:0.03,1.00,-0.03|AN:68|AN:91"
"11:14:28.001> RXADXL1:0.06,0.97,-0.06|ADXL2:0.06,1.03,-0.06|AN:90|AN:135"
"11:14:28.010> RXADXL1:0.00,1.03,0.00|ADXL2:0.00,1.00,-0.03|AN:60|AN:109"
"11:14:28.020> RXADXL1:0.03,1.03,-0.06|ADXL2:0.03,1.00,-0.06|AN:98|AN:39"
"11:14:28.029> RXADXL1:0.03,1.03,-0.03|ADXL2:-0.03,1.03,0.00|AN:59|AN:57"
"11:14:28.039> RXADXL1:0.03,1.00,-0.03|ADXL2:0.06,1.03,-0.09|AN:100|AN:163"
"11:14:28.051> RXADXL1:0.03,1.06,0.00|ADXL2:0.00,1.03,0.00|AN:69|AN:108"
"11:14:28.060> RXADXL1:0.03,1.06,-0.03|ADXL2:0.03,0.97,-0.06|AN:69|AN:57"
"11:14:28.069> RXADXL1:0.03,0.97,-0.03|ADXL2:0.03,0.97,-0.09|AN:64|AN:155"
"11:14:28.079> RXADXL1:0.03,1.03,-0.03|ADXL2:0.03,0.94,-0.06|AN:86|AN:119"
"11:14:28.089> RXADXL1:0.03,0.97,-0.03|ADXL2:0.03,1.03,-0.03|AN:51|AN:39"
"11:14:28.099> RXADXL1:0.03,1.03,-0.03|ADXL2:0.03,1.03,-0.03|AN:93|AN:132"
"11:14:28.108> RXADXL1:0.03,1.00,0.00|ADXL2:0.03,1.00,-0.03|AN:54|AN:175"
"11:14:28.119> RXADXL1:0.00,1.03,-0.03|ADXL2:0.03,1.03,-0.06|AN:95|AN:117"
"11:14:28.129> RXADXL1:0.03,0.97,0.00|ADXL2:0.00,0.97,-0.03|AN:42|AN:79"
"11:14:28.139> RXADXL1:0.00,1.06,-0.03|ADXL2:0.00,0.97,-0.03|AN:99|AN:54"
"11:14:28.149> RXADXL1:0.03,0.97,0.00|ADXL2:0.03,0.97,-0.03|AN:52|AN:165"
"11:14:28.159> RXADXL1:0.03,1.03,-0.03|ADXL2:0.03,1.00,0.00|AN:99|AN:156"
"11:14:28.173> RXADXL1:0.03,0.97,0.00|ADXL2:0.00,1.03,-0.03|AN:48|AN:73"
"11:14:28.181> RXADXL1:0.00,1.03,-0.03|ADXL2:0.06,1.06,-0.06|AN:91|AN:122"
"11:14:28.189> RXADXL1:0.03,1.00,0.00|ADXL2:0.00,1.00,-0.09|AN:53|AN:69"
"11:14:28.199> RXADXL1:0.03,1.03,-0.03|ADXL2:0.00,1.03,-0.09|AN:105|AN:111"
"11:14:28.209> RXADXL1:0.03,1.03,0.00|ADXL2:0.03,1.00,-0.09|AN:52|AN:41"
"11:14:28.221> RXADXL1:0.00,1.06,0.00|ADXL2:0.00,0.94,-0.03|AN:102|AN:137"
"11:14:28.229> RXADXL1:0.03,1.03,-0.03|ADXL2:0.03,0.97,-0.03|AN:55|AN:179"
"11:14:28.239> RXADXL1:0.03,1.00,0.00|ADXL2:0.03,0.97,0.00|AN:98|AN:20"
"11:14:28.249> RXADXL1:0.03,1.00,-0.03|ADXL2:0.03,0.94,0.00|AN:56|AN:119"
"11:14:28.259> RXADXL1:0.03,1.06,-0.03|ADXL2:0.00,1.03,-0.09|AN:103|AN:125"
"11:14:28.269> RXADXL1:0.03,1.03,0.00|ADXL2:0.03,1.00,-0.06|AN:56|AN:124"
"11:14:28.283> RXADXL1:0.03,1.03,-0.03|ADXL2:0.03,1.06,-0.03|AN:109|AN:127"
"11:14:28.289> RXADXL1:0.03,1.06,0.00|ADXL2:0.00,0.97,-0.03|AN:51|AN:147"
"11:14:28.299> RXADXL1:0.06,1.06,-0.03|ADXL2:0.06,1.03,-0.06|AN:110|AN:140"
"11:14:28.309> RXADXL1:0.03,1.03,0.00|ADXL2:0.00,0.94,-0.09|AN:58|AN:110"
"11:14:28.322> RXADXL1:0.00,1.03,-0.03|ADXL2:0.00,1.06,-0.06|AN:102|AN:75"
"11:14:28.329> RXADXL1:0.03,1.03,0.00|ADXL2:0.03,0.97,-0.06|AN:45|AN:141"
"11:14:28.340> RXADXL1:0.03,1.03,0.00|ADXL2:0.00,1.03,-0.06|AN:99|AN:139"
"11:14:28.349> RXADXL1:0.03,1.00,-0.03|ADXL2:0.03,1.00,-0.06|AN:57|AN:140"
"11:14:28.359> RXADXL1:0.03,0.97,0.00|ADXL2:0.03,1.03,-0.06|AN:103|AN:72"
"11:14:28.369> RXADXL1:0.00,1.03,-0.06|ADXL2:0.03,1.00,-0.06|AN:57|AN:149"
"11:14:28.379> RXADXL1:0.00,1.03,0.00|ADXL2:-0.03,1.03,0.03|AN:91|AN:45"
"11:14:28.389> RXADXL1:0.03,1.00,-0.06|ADXL2:0.03,0.94,-0.03|AN:58|AN:138"
"11:14:28.400> RXADXL1:0.03,1.00,0.00|ADXL2:0.03,1.00,-0.09|AN:103|AN:110"
"11:14:28.409> RXADXL1:0.03,1.03,-0.06|ADXL2:0.00,0.97,-0.03|AN:58|AN:148"
"11:14:28.419> RXADXL1:0.03,1.03,0.03|ADXL2:0.03,1.00,-0.06|AN:84|AN:73"
"11:14:28.429> RXADXL1:0.03,1.03,-0.03|ADXL2:0.03,0.97,-0.06|AN:63|AN:103"
"11:14:28.438> RXADXL1:0.03,1.00,0.03|ADXL2:0.03,1.06,-0.09|AN:89|AN:92"
"11:14:28.448> RXADXL1:0.03,1.00,-0.03|ADXL2:0.06,0.97,-0.06|AN:59|AN:154"
"11:14:28.459> RXADXL1:0.00,1.03,0.00|ADXL2:-0.03,1.03,0.00|AN:91|AN:135"
"11:14:28.468> RXADXL1:0.03,1.03,-0.06|ADXL2:0.03,0.97,-0.03|AN:55|AN:123"
"11:14:28.489> RXADXL1:0.03,1.00,0.03|ADXL2:0.00,0.97,-0.03|AN:83|AN:58"
"11:14:28.495> RXADXL1:0.03,1.06,-0.03|ADXL2:0.06,0.94,0.03|AN:72|AN:163"
"11:14:28.498> RXADXL1:0.03,1.00,0.00|ADXL2:-0.03,0.97,0.00|AN:92|AN:84"
"11:14:28.509> RXADXL1:0.03,1.03,-0.03|ADXL2:0.03,1.00,-0.09|AN:75|AN:135"
"11:14:28.518> RXADXL1:0.03,1.00,0.00|ADXL2:0.03,1.03,-0.03|AN:98|AN:147"
"11:14:28.528> RXADXL1:0.03,1.06,-0.03|ADXL2:0.06,1.03,-0.06|AN:62|AN:137"
"11:14:28.538> RXADXL1:0.03,1.03,-0.03|ADXL2:0.00,1.00,0.00|AN:89|AN:79"
"11:14:28.549> RXADXL1:0.03,1.03,-0.03|ADXL2:0.00,0.97,0.00|AN:63|AN:133"
"11:14:28.560> RXADXL1:0.03,1.00,0.00|ADXL2:0.00,1.03,-0.03|AN:93|AN:83"
"11:14:28.568> RXADXL1:0.03,1.06,-0.03|ADXL2:0.03,0.94,-0.09|AN:59|AN:175"
"11:14:28.578> RXADXL1:0.03,1.03,-0.03|ADXL2:0.00,1.03,-0.03|AN:89|AN:8"
"11:14:28.588> RXADXL1:0.03,1.00,-0.03|ADXL2:0.03,0.97,-0.09|AN:70|AN:174"
"11:14:28.599> RXADXL1:0.00,1.03,0.00|ADXL2:0.03,1.00,-0.03|AN:88|AN:107"
"11:14:28.610> RXADXL1:0.00,1.03,-0.03|ADXL2:0.06,1.03,-0.06|AN:55|AN:61"
"11:14:28.622> RXADXL1:0.03,1.00,-0.03|ADXL2:0.00,1.06,-0.03|AN:87|AN:58"
"11:14:28.630> RXADXL1:0.03,1.00,-0.03|ADXL2:0.03,1.03,-0.06|AN:78|AN:145"
"11:14:28.638> RXADXL1:0.03,1.03,-0.03|ADXL2:0.06,1.00,-0.06|AN:92|AN:103"
"11:14:28.648> RXADXL1:0.03,0.97,0.00|ADXL2:0.06,0.94,0.00|AN:71|AN:152"
"11:14:28.659> RXADXL1:0.03,1.06,-0.03|ADXL2:0.06,0.97,0.00|AN:88|AN:71"
"11:14:28.670> RXADXL1:0.03,1.00,-0.03|ADXL2:0.00,0.97,-0.03|AN:58|AN:157"
"11:14:28.680> RXADXL1:0.03,1.03,0.00|ADXL2:0.03,1.03,-0.03|AN:84|AN:105"
"11:14:28.690> RXADXL1:0.00,0.97,-0.03|ADXL2:0.09,1.06,-0.09|AN:60|AN:84"
"11:14:28.699> RXADXL1:0.00,1.03,-0.03|ADXL2:0.00,1.03,0.00|AN:83|AN:95"
"11:14:28.709> RXADXL1:0.00,1.00,0.00|ADXL2:0.03,1.03,-0.06|AN:69|AN:117"
"11:14:28.719> RXADXL1:0.03,1.03,0.00|ADXL2:0.00,1.00,-0.06|AN:84|AN:125"
"11:14:28.733> RXADXL1:0.03,1.00,-0.03|ADXL2:0.03,1.00,-0.03|AN:45|AN:95"
"11:14:28.740> RXADXL1:0.03,1.03,0.00|ADXL2:0.00,1.00,-0.03|AN:83|AN:55"
"11:14:28.749> RXADXL1:0.03,1.03,-0.03|ADXL2:0.06,0.97,-0.09|AN:60|AN:155"
"11:14:28.779> RXADXL1:0.03,1.00,0.00|ADXL2:0.03,0.97,-0.09|AN:87|AN:139"
"11:14:28.782> RXADXL1:0.00,1.03,0.00|ADXL2:0.06,1.06,-0.06|AN:74|AN:152"
"11:14:28.782> RXADXL1:0.03,1.03,-0.03|ADXL2:0.03,1.03,-0.09|AN:79|AN:82"
"11:14:28.797> RXADXL1:0.03,1.00,0.00|ADXL2:0.00,1.06,-0.09|AN:69|AN:107"
"11:14:28.801> RXADXL1:0.00,1.00,-0.03|ADXL2:0.03,1.03,0.00|AN:99|AN:104"
"11:14:28.820> RXADXL1:0.00,1.00,0.00|ADXL2:0.00,0.97,0.00|AN:69|AN:53"
"11:14:28.820> RXADXL1:0.03,1.03,-0.06|ADXL2:0.00,1.03,-0.03|AN:91|AN:168"
"11:14:28.829> RXADXL1:0.03,1.00,0.00|ADXL2:0.00,0.97,-0.03|AN:69|AN:89"
"11:14:28.839> RXADXL1:0.03,1.06,-0.03|ADXL2:0.06,0.97,-0.03|AN:89|AN:99"
"11:14:28.849> RXADXL1:0.03,1.00,-0.03|ADXL2:0.00,1.00,-0.06|AN:69|AN:75"
"11:14:28.859> RXADXL1:0.03,1.03,-0.03|ADXL2:0.06,1.00,-0.03|AN:94|AN:181"
"11:14:28.870> RXADXL1:0.03,1.03,0.00|ADXL2:-0.03,1.00,-0.03|AN:59|AN:89"
"11:14:28.880> RXADXL1:0.03,1.06,-0.03|ADXL2:0.00,1.03,0.00|AN:99|AN:110"
"11:14:28.889> RXADXL1:0.03,1.00,-0.03|ADXL2:0.00,0.97,0.00|AN:52|AN:134"
"11:14:28.899> RXADXL1:0.03,1.03,-0.03|ADXL2:0.06,1.03,-0.03|AN:89|AN:151"
"11:14:28.909> RXADXL1:0.00,1.00,-0.03|ADXL2:0.00,0.97,0.00|AN:57|AN:61"
"11:14:28.919> RXADXL1:0.03,1.03,-0.03|ADXL2:0.03,1.00,-0.03|AN:100|AN:141"
"11:14:28.929> RXADXL1:0.03,0.97,-0.03|ADXL2:-0.03,1.03,-0.06|AN:57|AN:132"
"11:14:28.940> RXADXL1:0.00,1.06,0.00|ADXL2:0.06,1.03,-0.09|AN:94|AN:120"
"11:14:28.949> RXADXL1:0.03,1.00,-0.03|ADXL2:-0.03,1.03,-0.06|AN:47|AN:53"
"11:14:28.960> RXADXL1:0.03,1.03,-0.03|ADXL2:0.00,0.94,0.00|AN:79|AN:167"
"11:14:28.970> RXADXL1:0.00,0.97,-0.03|ADXL2:0.03,1.03,0.00|AN:61|AN:102"
"11:14:28.980> RXADXL1:0.03,1.06,-0.03|ADXL2:0.03,0.97,-0.03|AN:84|AN:160"
"11:14:28.989> RXADXL1:0.03,1.00,-0.03|ADXL2:0.00,0.97,-0.03|AN:55|AN:29"
"11:14:29.000> RXADXL1:0.03,1.00,-0.03|ADXL2:0.03,0.97,-0.03|AN:85|AN:173"
"11:14:29.009> RXADXL1:0.00,1.00,-0.03|ADXL2:0.00,1.00,-0.03|AN:57|AN:83"
"11:14:29.020> RXADXL1:0.03,1.06,-0.03|ADXL2:0.03,1.06,-0.06|AN:89|AN:59"
"11:14:29.030> RXADXL1:0.03,1.00,0.00|ADXL2:0.00,1.06,-0.06|AN:59|AN:99"
"11:14:29.040> RXADXL1:0.03,1.03,-0.03|ADXL2:0.03,1.03,-0.09|AN:103|AN:135"
"11:14:29.050> RXADXL1:0.03,1.00,0.00|ADXL2:0.00,1.03,-0.09|AN:62|AN:98"
"11:14:29.075> RXADXL1:0.03,1.06,-0.06|ADXL2:0.03,0.97,-0.03|AN:100|AN:109"
